Network,01/03/2015,08/03/2015,15/03/2015,22/03/2015,29/03/2015,05/04/2015,12/04/2015,19/04/2015,26/04/2015,03/05/2015,10/05/2015,17/05/2015,24/05/2015,31/05/2015,07/06/2015,14/06/2015,21/06/2015,28/06/2015,05/07/2015,12/07/2015,19/07/2015,26/07/2015,02/08/2015,09/08/2015,16/08/2015,23/08/2015,30/08/2015,06/09/2015,13/09/2015,20/09/2015,27/09/2015,04/10/2015,11/10/2015,18/10/2015,25/10/2015,01/11/2015,08/11/2015,15/11/2015,22/11/2015,29/11/2015,06/12/2015,13/12/2015,20/12/2015,27/12/2015,03/01/2016,10/01/2016,17/01/2016,24/01/2016,31/01/2016,07/02/2016,14/02/2016,21/02/2016,28/02/2016,06/03/2016,13/03/2016,20/03/2016,27/03/2016,03/04/2016,10/04/2016,17/04/2016,24/04/2016,01/05/2016,08/05/2016,15/05/2016,22/05/2016,29/05/2016,05/06/2016,12/06/2016,19/06/2016,26/06/2016,03/07/2016,10/07/2016,17/07/2016,24/07/2016,31/07/2016,07/08/2016,14/08/2016,21/08/2016,28/08/2016,04/09/2016,11/09/2016,18/09/2016,25/09/2016,02/10/2016,09/10/2016,16/10/2016,23/10/2016,30/10/2016,06/11/2016,13/11/2016,20/11/2016,27/11/2016,04/12/2016,11/12/2016,18/12/2016,25/12/2016,01/01/2017,08/01/2017,15/01/2017,22/01/2017,29/01/2017,05/02/2017,12/02/2017,19/02/2017,26/02/2017,05/03/2017,12/03/2017,19/03/2017,26/03/2017,02/04/2017,09/04/2017,16/04/2017,23/04/2017,30/04/2017,07/05/2017,14/05/2017,21/05/2017,28/05/2017,04/06/2017,11/06/2017,18/06/2017,25/06/2017,02/07/2017,09/07/2017,16/07/2017,23/07/2017,30/07/2017,06/08/2017,13/08/2017,20/08/2017,27/08/2017,03/09/2017,10/09/2017,17/09/2017,24/09/2017,01/10/2017,08/10/2017,15/10/2017,22/10/2017,29/10/2017,05/11/2017,12/11/2017,19/11/2017,26/11/2017,03/12/2017,10/12/2017,17/12/2017,24/12/2017,31/12/2017,07/01/2018,14/01/2018,21/01/2018,28/01/2018,04/02/2018,11/02/2018,18/02/2018,25/02/2018,04/03/2018,11/03/2018,18/03/2018,25/03/2018,01/04/2018,08/04/2018,15/04/2018,22/04/2018,29/04/2018,06/05/2018,13/05/2018,20/05/2018,27/05/2018,03/06/2018,10/06/2018,17/06/2018,24/06/2018,01/07/2018,08/07/2018,15/07/2018,22/07/2018,29/07/2018,05/08/2018,12/08/2018,19/08/2018,26/08/2018,02/09/2018,09/09/2018,16/09/2018,23/09/2018,30/09/2018,07/10/2018,14/10/2018,21/10/2018,28/10/2018,04/11/2018,11/11/2018,18/11/2018,25/11/2018,02/12/2018,09/12/2018,16/12/2018,23/12/2018,30/12/2018,06/01/2019,13/01/2019,20/01/2019,27/01/2019,03/02/2019,10/02/2019,17/02/2019,24/02/2019,03/03/2019,10/03/2019,17/03/2019,24/03/2019,31/03/2019,07/04/2019,14/04/2019,21/04/2019,28/04/2019,05/05/2019,12/05/2019,19/05/2019,26/05/2019,02/06/2019,09/06/2019,16/06/2019,23/06/2019,30/06/2019,07/07/2019,14/07/2019,21/07/2019,28/07/2019,04/08/2019,11/08/2019,18/08/2019,25/08/2019,01/09/2019,08/09/2019,15/09/2019,22/09/2019,29/09/2019,06/10/2019,13/10/2019,20/10/2019,27/10/2019,03/11/2019,10/11/2019,17/11/2019,24/11/2019,01/12/2019,08/12/2019,15/12/2019,22/12/2019,29/12/2019,05/01/2020,12/01/2020,19/01/2020,26/01/2020,02/02/2020,09/02/2020,16/02/2020
Facebook,98,98,98,100,97,99,97,99,96,99,97,99,97,99,97,99,98,100,97,96,98,96,95,96,96,96,91,88,91,94,96,93,92,90,90,89,91,92,89,88,87,87,90,93,97,92,94,92,93,93,92,90,90,90,90,91,92,89,88,90,89,89,91,89,89,90,88,89,89,89,89,89,89,87,86,86,85,85,83,74,80,80,80,77,78,76,76,75,73,72,72,72,72,72,74,76,75,70,71,72,69,68,69,69,68,68,67,68,68,68,68,67,66,68,66,67,67,66,65,67,66,66,65,65,66,66,69,65,67,67,66,64,63,63,63,61,61,61,60,60,58,56,56,56,55,55,56,59,58,54,54,53,53,52,52,52,51,51,50,51,51,50,50,48,48,47,47,47,47,47,46,45,45,45,45,45,44,45,44,43,43,44,42,43,42,42,40,41,39,40,40,39,39,38,39,37,37,37,37,39,39,37,37,36,36,35,36,35,34,34,36,35,34,34,34,34,34,34,34,35,35,35,35,35,35,33,34,33,34,34,33,34,34,33,33,32,31,31,32,31,31,32,32,31,30,30,31,30,30,30,30,32,31,30,29,30,29,29,29,30
Youtube,50,50,50,51,51,51,50,51,50,50,51,51,51,52,51,50,51,51,51,50,51,51,50,51,51,52,49,48,49,51,49,49,49,50,50,49,50,51,50,49,49,49,52,49,40,41,41,41,42,41,41,41,40,41,40,43,40,39,40,41,41,40,41,41,41,41,40,39,40,40,40,39,40,40,41,40,40,40,39,37,39,39,40,39,41,40,40,40,39,40,39,39,38,38,41,41,38,38,38,39,39,37,38,39,38,38,38,39,39,37,37,37,37,38,37,36,37,36,36,37,35,36,36,36,36,38,39,39,39,39,39,40,39,39,39,38,38,38,39,39,38,38,38,38,38,39,40,41,38,36,37,37,38,37,38,36,36,37,36,36,37,37,35,36,36,35,35,35,36,36,35,34,34,33,33,32,31,34,34,32,33,33,34,34,34,32,31,31,30,32,30,31,30,31,31,31,31,31,30,31,30,29,28,29,29,28,29,28,29,27,27,28,28,27,27,28,28,28,28,29,29,29,29,28,28,27,27,27,26,27,27,26,27,28,28,27,26,27,27,27,26,27,27,27,27,27,27,26,26,27,27,28,27,26,25,26,25,25,25,25
Twitter,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,4,5,5,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,4,4,4,4,4,5,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,6,6,5
Instagram,4,4,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,8,7,7,7,8,7,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,9,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,9,9,9,9,8,9,9,8,8,10,8,8,8,8,9,9,9,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,10,10,9,10,9,9,9,9,9,9,9,10,11,9,10,9,9,9,9,9
